,templates
59,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
60,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
61,"['predictionfilter', 'and', 'label', '[e]']"
62,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
63,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'label', '[e]']"
64,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
65,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
66,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
67,"['filter', 'age', 'not', 'equal', 'to', 'and', 'label', '[e]']"
68,"['filter', 'pregnancies', 'not', 'equal', 'to', 'and', 'label', '[e]']"
69,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'label', '[e]']"
70,"['predictionfilter', 'and', 'label', '[e]']"
71,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
72,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
73,"['predictionfilter', 'and', 'labelfilter', 'and', 'label', '[e]']"
74,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
75,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
76,"['filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
77,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
78,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
79,"['filter', 'pregnancies', 'equal', 'to', 'and', 'label', '[e]']"
80,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
81,"['predictionfilter', 'and', 'label', '[e]']"
82,"['filter', 'id', 'and', 'filter', 'id', 'and', 'label', '[e]']"
83,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
84,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
85,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
86,"['filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
87,"['filter', 'skinthickness', 'less', 'than', 'and', 'label', '[e]']"
88,"['predictionfilter', 'and', 'labelfilter', 'and', 'label', '[e]']"
89,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
90,"['filter', 'skinthickness', 'less', 'equal', 'than', 'and', 'label', '[e]']"
91,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'label', '[e]']"
92,"['predictionfilter', 'and', 'labelfilter', 'and', 'label', '[e]']"
93,"['filter', 'age', 'greater', 'than', 'and', 'label', '[e]']"
94,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
95,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'label', '[e]']"
96,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
97,"['filter', 'glucose', 'not', 'equal', 'to', 'and', 'label', '[e]']"
98,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'label', '[e]']"
99,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
100,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
101,"['filter', 'bloodpressure', 'not', 'equal', 'to', 'and', 'label', '[e]']"
102,"['filter', 'glucose', 'not', 'equal', 'to', 'and', 'label', '[e]']"
103,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'label', '[e]']"
104,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
105,"['filter', 'pregnancies', 'not', 'equal', 'to', 'and', 'label', '[e]']"
106,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
107,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
108,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
109,"['filter', 'diabetespedigreefunction', 'not', 'equal', 'to', 'and', 'label', '[e]']"
110,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
111,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
112,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
113,"['filter', 'bloodpressure', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
114,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
115,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
116,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
117,"['filter', 'insulin', 'less', 'equal', 'than', 'and', 'label', '[e]']"
118,"['filter', 'age', 'less', 'equal', 'than', 'and', 'label', '[e]']"
119,"['filter', 'pregnancies', 'less', 'than', 'and', 'label', '[e]']"
120,"['predictionfilter', 'and', 'label', '[e]']"
121,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
122,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
123,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
124,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
125,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
126,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'label', '[e]']"
127,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
128,"['filter', 'bmi', 'not', 'equal', 'to', 'and', 'label', '[e]']"
129,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
130,"['predictionfilter', 'and', 'labelfilter', 'and', 'label', '[e]']"
131,"['filter', 'glucose', 'equal', 'to', 'and', 'label', '[e]']"
132,"['filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
133,"['filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
134,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'label', '[e]']"
135,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
136,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'label', '[e]']"
137,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
138,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
139,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
140,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
141,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
142,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
143,"['filter', 'glucose', 'not', 'equal', 'to', 'and', 'label', '[e]']"
144,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'label', '[e]']"
145,"['filter', 'bmi', 'equal', 'to', 'and', 'label', '[e]']"
146,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'label', '[e]']"
147,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
148,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
149,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'label', '[e]']"
150,"['filter', 'bloodpressure', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
151,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
152,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'label', '[e]']"
153,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
154,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
155,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
156,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'label', '[e]']"
157,"['filter', 'age', 'greater', 'than', 'and', 'label', '[e]']"
158,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'label', '[e]']"
159,"['filter', 'age', 'greater', 'than', 'and', 'label', '[e]']"
160,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'label', '[e]']"
161,"['filter', 'bloodpressure', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
162,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'label', '[e]']"
163,"['filter', 'age', 'less', 'equal', 'than', 'and', 'label', '[e]']"
164,"['filter', 'pregnancies', 'less', 'equal', 'than', 'and', 'label', '[e]']"
165,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
166,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
167,"['filter', 'bmi', 'not', 'equal', 'to', 'and', 'label', '[e]']"
168,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
169,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
170,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
171,"['filter', 'age', 'less', 'equal', 'than', 'and', 'label', '[e]']"
172,"['predictionfilter', 'and', 'label', '[e]']"
173,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
174,"['filter', 'glucose', 'not', 'equal', 'to', 'and', 'label', '[e]']"
175,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
176,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
177,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
178,"['filter', 'skinthickness', 'less', 'equal', 'than', 'and', 'label', '[e]']"
179,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
180,"['filter', 'age', 'less', 'equal', 'than', 'and', 'label', '[e]']"
181,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
182,"['filter', 'bloodpressure', 'equal', 'to', 'and', 'label', '[e]']"
183,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'label', '[e]']"
184,"['filter', 'glucose', 'less', 'than', 'and', 'label', '[e]']"
185,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
186,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
187,"['filter', 'skinthickness', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
188,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
189,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
190,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
191,"['filter', 'age', 'greater', 'than', 'and', 'label', '[e]']"
192,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
193,"['filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
194,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'label', '[e]']"
195,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
196,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
197,"['filter', 'insulin', 'less', 'equal', 'than', 'and', 'label', '[e]']"
198,"['filter', 'pregnancies', 'less', 'equal', 'than', 'and', 'label', '[e]']"
199,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
200,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
201,"['filter', 'id', 'and', 'label', '[e]']"
202,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
203,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'label', '[e]']"
204,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
205,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
206,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
207,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
208,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'label', '[e]']"
209,"['filter', 'bmi', 'not', 'equal', 'to', 'and', 'label', '[e]']"
210,"['filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
211,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'label', '[e]']"
212,"['filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
213,"['predictionfilter', 'and', 'labelfilter', 'likely', 'to', 'have', 'diabetes', 'and', 'label', '[e]']"
214,"['predictionfilter', 'and', 'labelfilter', 'and', 'label', '[e]']"
215,"['filter', 'pregnancies', 'less', 'equal', 'than', 'and', 'label', '[e]']"
216,"['filter', 'diabetespedigreefunction', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
217,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'label', '[e]']"
218,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
219,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
220,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
221,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
222,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
223,"['filter', 'glucose', 'less', 'than', 'and', 'label', '[e]']"
224,"['filter', 'skinthickness', 'less', 'equal', 'than', 'and', 'label', '[e]']"
225,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'label', '[e]']"
226,"['filter', 'age', 'less', 'equal', 'than', 'and', 'label', '[e]']"
227,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
228,"['filter', 'skinthickness', 'less', 'equal', 'than', 'and', 'label', '[e]']"
229,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
230,"['filter', 'skinthickness', 'less', 'than', 'and', 'label', '[e]']"
231,"['filter', 'skinthickness', 'equal', 'to', 'and', 'label', '[e]']"
232,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
233,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
234,"['filter', 'age', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
235,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
236,"['filter', 'pregnancies', 'less', 'equal', 'than', 'and', 'label', '[e]']"
237,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
238,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'pregnancies', 'less', 'than', 'and', 'label', '[e]']"
239,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
240,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
241,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
242,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
243,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
244,"['predictionfilter', 'and', 'label', '[e]']"
245,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
246,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'label', '[e]']"
247,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
248,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
249,"['filter', 'diabetespedigreefunction', 'not', 'equal', 'to', 'and', 'label', '[e]']"
250,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'glucose', 'less', 'than', 'and', 'label', '[e]']"
251,"['filter', 'age', 'equal', 'to', 'and', 'label', '[e]']"
252,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'label', '[e]']"
253,"['filter', 'insulin', 'equal', 'to', 'and', 'label', '[e]']"
254,"['filter', 'glucose', 'equal', 'to', 'and', 'label', '[e]']"
255,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
256,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
257,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
258,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
259,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
260,"['filter', 'insulin', 'less', 'equal', 'than', 'and', 'label', '[e]']"
261,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
262,"['filter', 'skinthickness', 'not', 'equal', 'to', 'and', 'label', '[e]']"
263,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
264,"['filter', 'diabetespedigreefunction', 'equal', 'to', 'and', 'label', '[e]']"
265,"['filter', 'bmi', 'equal', 'to', 'and', 'label', '[e]']"
266,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
267,"['filter', 'bloodpressure', 'less', 'equal', 'than', 'and', 'label', '[e]']"
268,"['filter', 'age', 'equal', 'to', 'and', 'label', '[e]']"
269,"['filter', 'pregnancies', 'less', 'than', 'and', 'label', '[e]']"
270,"['filter', 'bloodpressure', 'not', 'equal', 'to', 'and', 'label', '[e]']"
271,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
272,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'label', '[e]']"
273,"['filter', 'pregnancies', 'less', 'than', 'and', 'label', '[e]']"
274,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
275,"['filter', 'age', 'not', 'equal', 'to', 'and', 'label', '[e]']"
276,"['filter', 'glucose', 'less', 'equal', 'than', 'and', 'label', '[e]']"
277,"['filter', 'pregnancies', 'not', 'equal', 'to', 'and', 'label', '[e]']"
278,"['filter', 'pregnancies', 'less', 'equal', 'than', 'and', 'label', '[e]']"
279,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
280,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
281,"['filter', 'pregnancies', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
282,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
283,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
284,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
285,"['filter', 'age', 'less', 'equal', 'than', 'and', 'label', '[e]']"
286,"['filter', 'insulin', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
287,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
288,"['filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
289,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
290,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'skinthickness', 'less', 'than', 'and', 'label', '[e]']"
291,"['labelfilter', 'and', 'predictionfilter', 'and', 'label', '[e]']"
292,"['filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
293,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
294,"['filter', 'glucose', 'less', 'than', 'and', 'label', '[e]']"
295,"['filter', 'pregnancies', 'equal', 'to', 'and', 'label', '[e]']"
296,"['filter', 'pregnancies', 'not', 'equal', 'to', 'and', 'label', '[e]']"
297,"['filter', 'glucose', 'less', 'than', 'and', 'label', '[e]']"
298,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
299,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
300,"['filter', 'diabetespedigreefunction', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
301,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
302,"['predictionfilter', 'and', 'label', '[e]']"
303,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'label', '[e]']"
304,"['filter', 'bmi', 'not', 'equal', 'to', 'and', 'label', '[e]']"
305,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
306,"['filter', 'skinthickness', 'less', 'than', 'and', 'label', '[e]']"
307,"['filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
308,"['filter', 'age', 'less', 'equal', 'than', 'and', 'label', '[e]']"
309,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
310,"['predictionfilter', 'and', 'labelfilter', 'and', 'label', '[e]']"
311,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'label', '[e]']"
312,"['filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
313,"['filter', 'age', 'less', 'equal', 'than', 'and', 'label', '[e]']"
314,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
315,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
316,"['filter', 'skinthickness', 'less', 'than', 'and', 'label', '[e]']"
317,"['filter', 'glucose', 'not', 'equal', 'to', 'and', 'label', '[e]']"
318,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
